Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
246,1/23/2016,Kung Fu Panda 3, 140000000, 143528619, 521170825
247,7/10/1998,Lethal Weapon 4, 140000000, 130444603, 285400000
248,3/27/2013,G.I. Joe: Retaliation, 140000000, 122523060, 375740705
249,12/5/2003,The Last Samurai, 140000000, 111110575, 456810575
250,12/21/2005,Fun With Dick And Jane, 140000000, 110550000, 203018919
251,12/5/2014,Exodus: Gods and Kings, 140000000, 65014513, 268314513
252,6/30/2016,The BFG, 140000000, 55483770, 199646680
253,10/3/2019,Gemini Man, 140000000, 48546770, 166623705
254,2/24/2016,Gods of Egypt, 140000000, 31153464, 138836756
255,5/27/2022,Top Gun: Maverick, 140000000, 0, 0
256,Unknown,Desert Warrior, 140000000, 0, 0
257,5/3/2002,Spider-Man, 139000000, 403706375, 821706375
258,3/6/2009,Watchmen, 138000000, 107509799, 186976250
259,7/29/2005,Stealth, 138000000, 32116746, 76416746
260,6/13/2008,The Incredible Hulk, 137500000, 134806913, 265573859
261,6/20/2003,Hulk, 137000000, 132177234, 245031679
262,7/11/2001,Final Fantasy: The Spirits Within, 137000000, 32131830, 85131830
263,11/14/2012,The Twilight Saga: Breaking Dawn Part 2, 136200000, 292324737, 829724737
264,3/15/2013,The Croods, 135000000, 187168425, 573068425
265,12/25/2015,The Revenant, 135000000, 183637894, 532938302
266,11/19/1999,The World is Not Enough, 135000000, 126930660, 361730660
267,3/4/2011,Rango, 135000000, 123477607, 245724600
268,11/14/2003,Master and Commander: The Far Side of the World, 135000000, 93926386, 212912137
269,7/17/2013,Turbo, 135000000, 83028130, 286896578
270,6/2/2016,Teenage Mutant Ninja Turtles: Out of the Shadows, 135000000, 82051601, 245328374
271,11/18/2011,Happy Feet Two, 135000000, 64006466, 157956466
272,7/28/2006,Miami Vice, 135000000, 63478838, 164920076
273,10/31/2018,The Nutcracker and the Four Realms, 132900000, 54858851, 170024300
274,6/24/2005,War of the Worlds, 132000000, 234280354, 606836535
275,11/26/2014,Penguins of Madagascar, 132000000, 83350911, 366942531
276,11/15/2013,The Hunger Games: Catching Fire, 130000000, 424668047, 864868047
277,5/31/2004,Harry Potter and the Prisoner of Azkaban, 130000000, 249757726, 789592708
278,8/3/2007,The Bourne Ultimatum, 130000000, 227471070, 444043396
279,7/3/2018,Ant-Man and the Wasp, 130000000, 216648740, 623144660
280,6/6/2008,Kung Fu Panda, 130000000, 215434591, 631910531
281,7/14/2015,Ant-Man, 130000000, 180202163, 518858449
282,3/19/2015,Home, 130000000, 177397510, 385997896
283,12/19/2018,Mary Poppins Returns, 130000000, 171958438, 348901032
284,10/28/2011,Puss in Boots, 130000000, 149260504, 554987477
285,11/5/2010,Megamind, 130000000, 148415853, 321887208
286,7/18/2003,Bad Boys II, 130000000, 138540870, 273271982
287,3/20/2014,Rio 2, 130000000, 131538435, 492846291
288,7/23/2010,Salt, 130000000, 118311368, 290650494
289,3/27/2014,Noah, 130000000, 101200044, 352831065
290,10/28/2011,The Adventures of Tintin, 130000000, 77591831, 373993951
291,5/31/2013,After Earth, 130000000, 60522097, 251499665
292,11/26/2008,Australia, 130000000, 49554002, 215080810
293,7/19/2013,R.I.P.D., 130000000, 33618855, 79076678
294,1/3/2019,How to Train Your Dragon: The Hidden World, 129000000, 160799505, 522747474
295,11/18/2011,The Twilight Saga: Breaking Dawn Part 1, 127500000, 281287133, 689420051
296,5/19/2000,Dinosaur, 127500000, 137748063, 356148063
297,2/23/2017,Logan, 127000000, 226277068, 614202315
298,12/18/2014,Night at the Museum: Secret of the Tomb, 127000000, 113746621, 353756621
299,7/13/2011,Harry Potter and the Deathly Hallows: Part II, 125000000, 381193157, 1328766590
300,11/19/2014,The Hunger Games: Mockingjay - Part 1, 125000000, 337135885, 766575131
301,11/15/2001,Harry Potter and the Sorcererâs Stone, 125000000, 317871467, 965054122
302,12/4/2019,Jumanji: The Next Level, 125000000, 316831246, 798332900
303,11/17/2010,Harry Potter and the Deathly Hallows: Part I, 125000000, 296131568, 952601389
304,5/19/2006,The Da Vinci Code, 125000000, 217536138, 767820459
305,4/30/2003,X-Men 2, 125000000, 214949694, 406348630
306,4/21/2011,Fast Five, 125000000, 210031325, 630163454
307,8/8/2014,Teenage Mutant Ninja Turtles, 125000000, 191204754, 485004754
308,12/16/2011,Sherlock Holmes: A Game of Shadows, 125000000, 186848418, 535663443
309,5/27/2004,The Day After Tomorrow, 125000000, 186740799, 555840117
310,3/17/2017,The Boss Baby, 125000000, 175003033, 527965936
311,4/1/2010,Clash of the Titans, 125000000, 163214888, 493214888
312,10/12/2016,Trolls, 125000000, 153707064, 343242613
313,5/19/1998,Godzilla, 125000000, 136314294, 376000000
314,5/30/2012,Prometheus, 125000000, 126477084, 402448265
315,8/10/2012,The Bourne Legacy, 125000000, 113203870, 280355920
316,6/20/1997,Batman & Robin, 125000000, 107325195, 238317814
317,7/5/2018,Skyscraper, 125000000, 68420120, 304868961
318,1/3/2020,The Call of the Wild, 125000000, 62342368, 107360936
319,8/3/2012,Total Recall, 125000000, 58877969, 211856088
320,12/21/2016,Assassinâs Creed, 125000000, 54647948, 240759682
321,12/29/2016,Monster Trucks, 125000000, 33370166, 61642798
322,8/27/1999,The 13th Warrior, 125000000, 32698899, 61698899
323,11/17/2000,How the Grinch Stole Christmas, 123000000, 260348825, 345445403
324,5/24/2000,Mission: Impossible 2, 120000000, 215409889, 549588516
325,6/30/2000,The Perfect Storm, 120000000, 182618434, 328711434
326,7/20/2016,Jason Bourne, 120000000, 162192920, 416168316
327,2/10/2022,Uncharted, 120000000, 139256206, 373448280
328,6/15/2007,Fantastic Four: Rise of the Silver Surfer, 120000000, 131921738, 289480691
329,11/21/2012,Life of Pi, 120000000, 124987022, 619310368
330,2/16/2007,Ghost Rider, 120000000, 115802596, 229545589
331,4/9/2018,Rampage, 120000000, 101028233, 427947217
332,6/27/2003,Charlie's Angels: Full Throttle, 120000000, 100814328, 227163273
333,8/9/2013,Elysium, 120000000, 93050117, 286192091
